,layer,filter,class_list,value
23,39,23,whole,0.02679849684292614
47,39,47,whole,0.010692649538142068
59,39,59,whole,0.010200680600518524
122,39,122,whole,0.009250114538990805
86,39,86,whole,0.008708579699206348
124,39,124,whole,0.007504817730162615
42,39,42,whole,0.006377176655170023
93,39,93,whole,0.005798661212122242
45,39,45,whole,0.0055356052775318585
103,39,103,whole,0.005351053415505373
66,39,66,whole,0.005157014357696079
68,39,68,whole,0.004517224855548604
55,39,55,whole,0.004479569060438245
36,39,36,whole,0.00438340092669597
63,39,63,whole,0.00436148849075246
80,39,80,whole,0.004202406470443003
97,39,97,whole,0.004045120973897183
49,39,49,whole,0.0039506999775047345
46,39,46,whole,0.003720362982590683
76,39,76,whole,0.003527891991575584
51,39,51,whole,0.0034720991480294274
125,39,125,whole,0.0032960261722054032
118,39,118,whole,0.0032718407139044185
50,39,50,whole,0.003073047081478657
3,39,3,whole,0.0029113839269588404
12,39,12,whole,0.0026967281513367762
48,39,48,whole,0.002588281078462114
104,39,104,whole,0.0023233330312636504
65,39,65,whole,0.002259939788938557
96,39,96,whole,0.001985885856028228
82,39,82,whole,0.001956635724252692
117,39,117,whole,0.0017468627225365504
41,39,41,whole,0.00171763008794176
109,39,109,whole,0.001659176845998389
34,39,34,whole,0.0014052379106819692
31,39,31,whole,0.001385162303968089
105,39,105,whole,0.0013834110832742735
54,39,54,whole,0.0013652380436491949
21,39,21,whole,0.0012643617596610653
26,39,26,whole,0.0012624631968572546
94,39,94,whole,0.0011577462018981996
123,39,123,whole,0.0011532980102211428
4,39,4,whole,0.0010866817476048347
24,39,24,whole,0.0010190881962224827
32,39,32,whole,0.0009321969586004921
77,39,77,whole,0.0009121361681172412
30,39,30,whole,0.0008389685234133276
17,39,17,whole,0.0007472768467893401
64,39,64,whole,0.0007313090717553383
43,39,43,whole,0.0007100786699862406
61,39,61,whole,0.000599703259767922
92,39,92,whole,0.0005582453289281802
116,39,116,whole,0.0005549050543109099
85,39,85,whole,0.000550321949644354
111,39,111,whole,0.0005072185935348767
100,39,100,whole,0.0004855077029499333
25,39,25,whole,0.00045909713143971637
120,39,120,whole,0.0004527071122307637
6,39,6,whole,0.0003811548037950437
91,39,91,whole,0.000369244580424591
20,39,20,whole,0.00031614985022638815
72,39,72,whole,0.00031362768519990135
121,39,121,whole,0.0003113251873829584
60,39,60,whole,0.00028589948250361274
38,39,38,whole,0.0002060648273390626
114,39,114,whole,0.00019049406920675568
107,39,107,whole,0.00013956664697935785
83,39,83,whole,9.677372759855086e-05
14,39,14,whole,9.182818865959858e-05
37,39,37,whole,5.033329667899773e-05
58,39,58,whole,3.6605771098446176e-05
15,39,15,whole,5.3650826330332855e-06
2,39,2,whole,0.0
9,39,9,whole,-1.4800593606134615e-05
40,39,40,whole,-3.491070469008855e-05
115,39,115,whole,-4.088338396708751e-05
29,39,29,whole,-7.316897809259842e-05
0,39,0,whole,-7.911466777909981e-05
110,39,110,whole,-9.113902663140374e-05
98,39,98,whole,-9.196218681640422e-05
44,39,44,whole,-0.00011721472363209474
39,39,39,whole,-0.00014975516664427957
106,39,106,whole,-0.00015747695095691197
99,39,99,whole,-0.00017529054817255283
27,39,27,whole,-0.00017848722788376369
81,39,81,whole,-0.00018926349440275106
56,39,56,whole,-0.0002310254745239786
7,39,7,whole,-0.00023897598168261063
53,39,53,whole,-0.00027993079474616727
8,39,8,whole,-0.00030581300456869915
108,39,108,whole,-0.00036545247131521965
71,39,71,whole,-0.00039253569450944573
19,39,19,whole,-0.00041624349501478324
79,39,79,whole,-0.000438954755044893
35,39,35,whole,-0.0005162883901874475
33,39,33,whole,-0.0005566003575505029
67,39,67,whole,-0.0005817478423478106
52,39,52,whole,-0.0006885893425167711
89,39,89,whole,-0.0007098693125427115
78,39,78,whole,-0.0007928342495500632
73,39,73,whole,-0.0007950869102601738
119,39,119,whole,-0.0008336966076019851
112,39,112,whole,-0.0008507055718800268
113,39,113,whole,-0.0009479237012962889
18,39,18,whole,-0.0012750770103412974
10,39,10,whole,-0.001442707740637164
28,39,28,whole,-0.0015215504235109923
16,39,16,whole,-0.0015288922157844353
126,39,126,whole,-0.0016808908752819957
22,39,22,whole,-0.0019203889564519156
11,39,11,whole,-0.00200987983227964
102,39,102,whole,-0.0020672485208353495
101,39,101,whole,-0.002261607289575653
57,39,57,whole,-0.0022676566310058975
127,39,127,whole,-0.0027913967940529786
13,39,13,whole,-0.0028805382940041207
95,39,95,whole,-0.003307009199849377
75,39,75,whole,-0.0037628048621677194
62,39,62,whole,-0.0039656174169174704
84,39,84,whole,-0.004053571546683643
5,39,5,whole,-0.004685886680839173
69,39,69,whole,-0.00487414928970605
74,39,74,whole,-0.005989572541530333
90,39,90,whole,-0.007012601107382668
87,39,87,whole,-0.007297323365708821
70,39,70,whole,-0.007642359151725569
88,39,88,whole,-0.010056732246397984
1,39,1,whole,-0.017768242074430656
