,layer,filter,class_list,value
5,8,5,0,0.0006103018966451934
57,8,57,0,0.00036446884369512045
63,8,63,0,0.00028260245106412893
41,8,41,0,0.00023307122878086784
38,8,38,0,0.00020567138983927923
17,8,17,0,0.00020526699315104313
9,8,9,0,0.0002028636684921703
56,8,56,0,0.00018693206341843238
55,8,55,0,0.0001781922885949805
60,8,60,0,0.00016992460463270963
3,8,3,0,0.00011640926651381722
54,8,54,0,0.00010986904046896839
11,8,11,0,0.00010148004277189537
10,8,10,0,9.415748393674095e-05
18,8,18,0,8.699317442566468e-05
62,8,62,0,3.8654184844000294e-05
37,8,37,0,3.85743609915723e-05
25,8,25,0,2.4044275931067727e-05
58,8,58,0,2.402389324502874e-05
53,8,53,0,2.0756385798659237e-05
7,8,7,0,1.7187337821467086e-05
8,8,8,0,1.3317228644471601e-05
47,8,47,0,4.87940024992417e-06
40,8,40,0,-6.153323761082241e-06
32,8,32,0,-7.011602091333557e-06
35,8,35,0,-1.380825583559009e-05
39,8,39,0,-1.4118758988490576e-05
13,8,13,0,-2.0339267558444617e-05
52,8,52,0,-2.721835997543387e-05
31,8,31,0,-2.858419324067718e-05
48,8,48,0,-2.90857277725598e-05
45,8,45,0,-2.9191116160287578e-05
14,8,14,0,-4.225329856609728e-05
33,8,33,0,-5.4497074227211065e-05
26,8,26,0,-5.927623575984198e-05
15,8,15,0,-6.927496583178928e-05
19,8,19,0,-7.824703988122961e-05
28,8,28,0,-8.325602632682782e-05
4,8,4,0,-8.797406901266403e-05
0,8,0,0,-8.983788973617734e-05
46,8,46,0,-0.00012579769943943386
12,8,12,0,-0.00012686855434649314
30,8,30,0,-0.0001280428636925346
50,8,50,0,-0.00013935769027507706
49,8,49,0,-0.00014720967696428832
16,8,16,0,-0.00019849175948069008
44,8,44,0,-0.00020128135930304049
59,8,59,0,-0.00023244752263009704
22,8,22,0,-0.0002555571820861968
36,8,36,0,-0.00028440221708798675
61,8,61,0,-0.00042675800388186635
24,8,24,0,-0.00047276036504446673
23,8,23,0,-0.0005059166291350281
27,8,27,0,-0.0005101751637900609
43,8,43,0,-0.0005508721341035083
21,8,21,0,-0.0006638471006298108
2,8,2,0,-0.0007220724686531343
29,8,29,0,-0.0007335283615713228
6,8,6,0,-0.0008627690733266968
51,8,51,0,-0.0009341298748641869
42,8,42,0,-0.0010545976274444757
1,8,1,0,-0.002230571190521213
34,8,34,0,-0.002246442452541397
20,8,20,0,-0.002295379802385378
